season,round,race_name,country,circuit,circuit_length_km,number_of_turns,laps,driver,driver_code,driver_number,driver_age,nationality,constructor,engine_supplier,grid_position,finish_position,points,podium,winner,fastest_lap,fastest_lap_time_sec,best_sector1,best_sector2,best_sector3,qualifying_position,Q1_time,Q2_time,Q3_time,sprint_position,laps_completed,pit_stops,average_pit_duration,starting_compound,ending_compound,tyre_strategy,weather,air_temperature,track_temperature,humidity,wind_speed,track_status,safety_car_count,red_flags,yellow_flags,dnf,dnf_reason,penalties,penalty_seconds,position_change,grid_gain,average_speed,top_speed,race_time,team_points_after_race,driver_points_after_race,performance_index,consistency_score
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Ethan Larsen,LAR,82,20,Hungarian,Red Falcon Racing,Titan Power Unit,10,5,10,False,False,True,189.771,57.0,62.619,70.152,10,3:15.427,3:12.542,3:10.368,,59,0,0.0,Medium,Soft,Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,5,5,202.6,327.4,4996.6,10,10,84.0,65.8
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Mason Wang,WAN,72,22,Dutch,Red Falcon Racing,Titan Power Unit,2,7,6,False,False,False,191.089,57.115,62.634,70.708,2,3:15.207,3:11.599,3:09.938,,59,4,6.09,Soft,Hard,Soft-Hard-Soft-Soft-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,-5,0,191.7,324.2,5533.7,16,6,82.4,58.7
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Tariq Karlsson,KAR,92,19,British,Velocity GP,Vertex Dynamics,17,14,0,False,False,False,192.349,57.578,63.088,70.672,17,3:15.215,,,,59,2,2.03,Soft,Medium,Medium-Medium-Soft,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,3,3,183.2,341.0,5899.2,0,0,57.9,67.3
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Salvatore Sokolov,SOK,94,13,Swedish,Velocity GP,Vertex Dynamics,15,16,0,False,False,False,190.106,57.466,62.913,70.743,15,3:14.366,3:12.456,,,59,0,0.0,Medium,Medium,Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,-1,0,229.2,310.3,5499.6,0,0,63.0,60.2
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Noah Suzuki,SUZ5,90,15,Belgian,Apex Motorsport,Quantum Powertrain,6,13,0,False,False,False,192.827,57.444,63.1,70.181,6,3:15.550,3:12.904,3:09.187,,59,4,4.5,Soft,Hard,Hard-Hard-Hard-Hard-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,-7,0,213.1,312.6,5494.1,0,0,58.5,61.7
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Giorgio Muller,MUL2,13,23,Italian,Apex Motorsport,Quantum Powertrain,5,2,18,True,False,False,190.958,57.354,62.857,70.317,5,3:14.778,3:10.897,3:09.822,,59,2,2.02,Soft,Soft,Hard-Hard-Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,3,3,225.4,312.5,4434.9,18,18,97.5,78.2
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Sven Pereira,PER4,95,26,Irish,Titan Racing,Titan Power Unit,7,6,8,False,False,False,191.611,57.081,62.838,70.192,7,3:15.228,3:13.370,3:09.673,,59,2,3.54,Soft,Soft,Medium-Hard-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,1,1,202.9,332.4,4707.7,8,8,78.9,66.5
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Kofi Taylor,TAY,19,28,Dutch,Titan Racing,Titan Power Unit,8,10,1,False,False,False,192.971,57.318,63.064,70.506,8,3:13.866,3:11.949,3:10.887,,59,1,4.04,Medium,Medium,Medium-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,-2,0,191.5,320.9,5367.4,9,1,65.1,58.9
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,George Sharma,SHA,68,28,American,Quantum F1,Quantum Powertrain,19,20,0,False,False,False,193.254,57.405,63.108,70.694,19,3:15.789,,,,37,1,3.45,Medium,Hard,Medium-Soft,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,True,Electrical,False,0.0,6,0,211.3,329.7,3656.9,0,0,27.6,46.6
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Fabian Lee,LEE,106,12,Dutch,Quantum F1,Quantum Powertrain,20,17,0,False,False,False,190.783,57.039,62.892,70.462,20,3:16.062,,,,59,2,2.46,Medium,Medium,Soft-Soft-Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,3,3,201.3,336.4,4499.3,0,0,42.2,61.6
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Lorenzo Martinez,MAR4,78,29,Spanish,Phoenix Racing,Solaris Engineering,16,15,0,False,False,False,190.341,57.518,62.62,70.457,16,3:13.258,,,,59,1,2.5,Medium,Hard,Soft-Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,1,1,191.3,331.7,5311.4,0,0,59.1,68.4
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Lucas Pereira,PER3,30,27,Russian,Phoenix Racing,Solaris Engineering,18,18,0,False,False,False,190.131,57.276,63.046,70.242,18,3:14.103,,,,28,2,5.79,Medium,Soft,Soft-Soft-Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,True,Gearbox,False,0.0,3,0,182.6,313.9,1490.2,0,0,34.4,48.8
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Kenji Hernandez,HER2,33,23,Italian,Nova Motorsport,Hyperion Drivetrain,1,1,25,True,True,False,189.987,57.512,62.99,70.25,1,3:15.382,3:10.746,3:09.359,,59,0,0.0,Soft,Soft,Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,True,7.8,0,0,171.3,337.0,5875.1,25,25,94.4,60.7
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Jasper Nowak,NOW,1,14,Belgian,Nova Motorsport,Hyperion Drivetrain,3,3,15,True,False,False,190.069,57.208,62.63,70.251,3,3:13.771,3:12.806,3:09.633,,59,4,4.72,Soft,Hard,Soft-Medium-Soft-Medium-Soft,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,0,0,211.6,340.0,5654.1,40,15,94.5,73.2
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Jack Martinez,MAR,62,23,Canadian,Solar GP,Solaris Engineering,13,9,2,False,False,False,193.248,57.351,62.695,70.69,13,3:13.364,3:11.382,,,59,3,6.01,Medium,Medium,Hard-Medium-Hard-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,4,4,211.0,325.7,4878.9,2,2,70.0,63.6
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Oscar Garcia,GAR2,17,11,Italian,Solar GP,Solaris Engineering,4,11,0,False,False,False,191.278,57.407,63.054,70.492,4,3:13.600,3:12.457,3:10.585,,59,3,2.23,Medium,Medium,Soft-Medium-Hard-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,True,19.9,-7,0,220.9,337.3,5415.6,2,0,68.7,54.1
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Seojun Andersen,AND2,86,22,Australian,Vertex Racing,Vertex Dynamics,11,12,0,False,False,False,190.629,57.515,63.167,70.279,11,3:14.150,3:11.208,,,59,4,5.58,Medium,Hard,Hard-Medium-Medium-Soft-Soft,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,-1,0,199.0,327.9,5509.3,0,0,60.8,66.1
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Themba Kim,KIM2,76,15,South African,Vertex Racing,Vertex Dynamics,12,8,4,False,False,False,190.646,57.446,62.633,70.74,12,3:15.149,3:12.955,,,59,3,4.33,Medium,Medium,Soft-Medium-Hard-Medium,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,4,4,188.1,320.4,5098.8,4,4,70.8,62.4
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Alejandro Almeida,ALM3,3,25,Hungarian,Hyperion Motorsport,Hyperion Drivetrain,14,19,0,False,False,False,190.508,57.411,62.823,70.725,14,3:14.243,3:12.552,,,22,3,4.74,Soft,Medium,Hard-Hard-Medium-Hard,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,True,Brake Failure,False,0.0,-2,0,197.7,335.9,2071.1,0,0,36.5,37.6
2018,1,Grand Prix of Solaria,Spainia,Circuit de Solaria,5.2,16,59,Hao Chowdhury,CHO2,55,27,Indian,Hyperion Motorsport,Hyperion Drivetrain,9,4,12,False,False,False,192.124,57.297,62.685,70.303,9,3:13.700,3:11.428,3:09.514,,59,1,5.39,Soft,Soft,Medium-Soft,Sunny,31.0,42.8,72.3,8.4,Safety Car,1,0,1,False,None,False,0.0,5,5,196.2,324.4,5511.5,12,12,80.2,66.1
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Ethan Larsen,LAR,82,20,Hungarian,Red Falcon Racing,Titan Power Unit,19,16,0,False,False,False,205.041,61.648,67.472,75.817,19,3:29.476,,,,54,3,4.97,Soft,Soft,Soft-Soft-Medium-Medium,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,3,3,182.0,327.8,5694.2,16,10,55.0,68.7
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Mason Wang,WAN,72,22,Dutch,Red Falcon Racing,Titan Power Unit,12,10,1,False,False,False,204.687,61.358,67.286,75.297,12,3:30.064,3:26.752,,,54,2,6.26,Medium,Medium,Hard-Hard-Soft,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,2,2,216.5,326.5,5452.3,17,7,73.7,66.7
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Tariq Karlsson,KAR,92,19,British,Velocity GP,Vertex Dynamics,13,12,0,False,False,False,203.984,61.278,67.105,75.392,13,3:29.845,3:27.426,,,54,0,0.0,Soft,Medium,Soft,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,True,13.2,1,1,226.6,319.0,4738.0,0,0,59.6,63.4
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Salvatore Sokolov,SOK,94,13,Swedish,Velocity GP,Vertex Dynamics,15,11,0,False,False,False,203.634,61.353,67.547,75.588,15,3:30.797,3:27.344,,,54,2,4.44,Soft,Medium,Soft-Soft-Hard,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,4,4,204.9,337.5,5875.1,0,0,64.3,61.5
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Noah Suzuki,SUZ5,90,15,Belgian,Apex Motorsport,Quantum Powertrain,11,5,10,False,False,False,206.08,61.571,67.31,75.496,11,3:29.715,3:26.554,,,54,3,4.45,Soft,Soft,Hard-Soft-Soft-Soft,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,6,6,196.9,331.5,5017.7,28,10,82.2,54.8
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Giorgio Muller,MUL2,13,23,Italian,Apex Motorsport,Quantum Powertrain,4,18,0,False,False,False,206.112,61.182,67.256,75.821,4,3:28.265,3:27.584,3:25.229,,14,2,4.64,Soft,Medium,Hard-Medium-Soft,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,True,Suspension,False,0.0,-14,0,204.1,312.1,3710.3,28,18,48.0,23.6
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Sven Pereira,PER4,95,26,Irish,Titan Racing,Titan Power Unit,2,2,18,True,False,False,206.304,61.219,67.276,75.553,2,3:30.347,3:27.946,3:23.765,,54,1,3.9,Medium,Medium,Soft-Medium,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,0,0,211.5,325.7,5444.2,27,26,90.2,63.0
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Kofi Taylor,TAY,19,28,Dutch,Titan Racing,Titan Power Unit,3,9,2,False,False,False,206.267,61.363,67.215,75.671,3,3:30.508,3:26.315,3:24.490,,54,4,2.43,Soft,Soft,Hard-Soft-Soft-Soft-Hard,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,-6,0,214.0,331.2,4961.1,29,3,79.4,54.2
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,George Sharma,SHA,68,28,American,Quantum F1,Quantum Powertrain,18,17,0,False,False,False,203.672,61.504,67.516,75.323,18,3:28.489,,,,54,3,5.96,Medium,Medium,Hard-Soft-Medium-Hard,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,1,1,190.2,330.4,5401.2,0,0,45.9,67.3
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Fabian Lee,LEE,106,12,Dutch,Quantum F1,Quantum Powertrain,14,13,0,False,False,False,205.09,61.334,67.154,75.347,14,3:30.366,3:26.026,,,54,1,5.7,Soft,Soft,Hard-Soft,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,1,1,224.3,325.7,5414.9,0,0,58.0,68.5
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Lorenzo Martinez,MAR4,78,29,Spanish,Phoenix Racing,Solaris Engineering,20,15,0,False,False,False,204.854,61.638,67.607,75.746,20,3:28.614,,,,54,1,2.39,Soft,Hard,Hard-Medium,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,5,5,207.8,336.6,5509.1,0,0,51.0,66.0
2018,2,Northlight Grand Prix,Britannia,Northlight Circuit,5.6,18,54,Lucas Pereira,PER3,30,27,Russian,Phoenix Racing,Solaris Engineering,16,14,0,False,False,False,205.542,61.405,67.178,75.473,16,3:30.172,,,,54,1,4.95,Medium,Hard,Medium-Medium,Sunny,31.6,46.1,70.6,44.3,Safety Car,2,0,2,False,None,False,0.0,2,2,192.1,354.5,6120.7,0,0,56.7,65.2
